Team1,Runs,Wickets,Overs,RPO,Inns,Result,Winner,Team2,Ground,Start Date
Zimbabwe,144,5,18,8,1,lost, Bangladesh, Bangladesh,Mirpur,13-Sep-19
Afganistan,197,5,20,9.85,1,won,Afganistan, Zimbabwe,Mirpur,14-Sep-19
Afganistan,164,6,20,8.2,1,won,Afganistan, Bangladesh,Mirpur,15-Sep-19
Scotland,252,3,20,12.6,1,won,Scotland, Netherland,Dublin (Malahide),16-Sep-19
Scotland,193,7,20,9.65,1,lost, Ireland, Ireland,Dublin (Malahide),17-Sep-19
Bangladesh,175,7,20,8.75,1,won,Bangladesh, Zimbabwe,Chattogram,18-Sep-19
Ireland,181,7,20,9.05,1,lost, Netherland, Netherland,Dublin (Malahide),18-Sep-19
South Africa,149,5,20,7.45,1,lost, India, India,Mohali,18-Sep-19
Netherland,123,,20,6.15,1,lost, Scotland, Scotland,Dublin (Malahide),19-Sep-19
Afganistan,155,8,20,7.75,1,lost, Zimbabwe, Zimbabwe,Chattogram,20-Sep-19
Ireland,186,9,20,9.3,1,won,Ireland, Scotland,Dublin (Malahide),20-Sep-19
Afganistan,138,7,20,6.9,1,lost, Bangladesh, Bangladesh,Chattogram,21-Sep-19
India,134,9,20,6.7,1,lost, South Africa, South Africa,Bengaluru,22-Sep-19
Nepal,132,6,20,6.6,1,lost, Zimbabwe, Zimbabwe,Singapore,27-Sep-19
Singapore,151,3,20,7.55,1,lost, Nepal, Nepal,Singapore,28-Sep-19
Vanuatu,151,5,20,7.55,1,won,Vanuatu, Malaysia,Kuala Lumpur,29-Sep-19
Singapore,181,9,18,10.05,1,won,Singapore, Zimbabwe,Singapore,29-Sep-19
Vanuatu,188,6,20,9.4,1,won,Vanuatu, Malaysia,Kuala Lumpur,01-Oct-19
Zimbabwe,160,6,20,8,1,won,Zimbabwe, Nepal,Singapore,01-Oct-19
Malaysia,134,8,20,6.7,1,won,Malaysia, Vanuatu,Kuala Lumpur,02-Oct-19
Malaysia,144,7,20,7.2,1,lost, Vanuatu, Vanuatu,Kuala Lumpur,03-Oct-19
Singapore,167,7,20,8.35,1,lost, Zimbabwe, Zimbabwe,Singapore,03-Oct-19
Mexico,46,8,12,3.83,1,lost, Argentina, Argentina,Cortijo Polo Club Pitch A,03-Oct-19
Brazil,96,5,12,8,1,won,Brazil, Chile,Cortijo Polo Club Pitch B,03-Oct-19
Peru,75,5,12,6.25,1,won,Peru, Brazil,Cortijo Polo Club Pitch A,03-Oct-19
Malaysia,206,5,20,10.3,1,won,Malaysia, Vanuatu,Kuala Lumpur,04-Oct-19
Mexico,99,8,18,5.5,1,lost, Chile, Chile,Cortijo Polo Club Pitch A,04-Oct-19
Peru,85,,17.5,4.76,1,lost, Argentina, Argentina,Cortijo Polo Club Pitch B,04-Oct-19
Argentina,105,9,18,5.83,1,won,Argentina, Brazil,Cortijo Polo Club Pitch A,04-Oct-19
Hong Kong,96,9,20,4.8,1,lost, Oman, Oman,Al Amerat,05-Oct-19
Netherland,167,7,20,8.35,1,lost, Ireland, Ireland,Al Amerat,05-Oct-19
Argentina,102,7,18,5.66,1,won,Argentina, Chile,Cortijo Polo Club Pitch A,05-Oct-19
Mexico,132,8,18,7.33,1,won,Mexico, Peru,Cortijo Polo Club Pitch B,05-Oct-19
Srilanka,165,5,20,8.25,1,won,Srilanka, Pakistan,Lahore,05-Oct-19
Peru,153,5,18,8.5,1,won,Peru, Chile,Cortijo Polo Club Pitch A,05-Oct-19
